target,location,truth_date,year_week,season,value,data_source
ILI incidence,AT,2017/10/22,2017-W42,2017-2018,552.6,ERVISS
ILI incidence,AT,2017/10/29,2017-W43,2017-2018,508.1,ERVISS
ILI incidence,AT,2017/11/5,2017-W44,2017-2018,430.3,ERVISS
ILI incidence,AT,2017/11/12,2017-W45,2017-2018,688.9,ERVISS
ILI incidence,AT,2017/11/19,2017-W46,2017-2018,594.9,ERVISS
ILI incidence,AT,2017/11/26,2017-W47,2017-2018,614.0,ERVISS
ILI incidence,AT,2017/12/3,2017-W48,2017-2018,654.4,ERVISS
ILI incidence,AT,2017/12/10,2017-W49,2017-2018,628.1,ERVISS
ILI incidence,AT,2017/12/17,2017-W50,2017-2018,806.4,ERVISS
ILI incidence,AT,2017/12/24,2017-W51,2017-2018,849.8,ERVISS
ILI incidence,AT,2017/12/31,2017-W52,2017-2018,483.4,ERVISS
ILI incidence,AT,2018/1/7,2018-W01,2017-2018,944.2,ERVISS
ILI incidence,AT,2018/1/14,2018-W02,2017-2018,1014.7,ERVISS
ILI incidence,AT,2018/1/21,2018-W03,2017-2018,1152.2,ERVISS
ILI incidence,AT,2018/1/28,2018-W04,2017-2018,1357.8,ERVISS
ILI incidence,AT,2018/2/4,2018-W05,2017-2018,1497.2,ERVISS
ILI incidence,AT,2018/2/11,2018-W06,2017-2018,1729.8,ERVISS
ILI incidence,AT,2018/2/18,2018-W07,2017-2018,1792.9,ERVISS
ILI incidence,AT,2018/2/25,2018-W08,2017-2018,1480.5,ERVISS
ILI incidence,AT,2018/3/4,2018-W09,2017-2018,1428.7,ERVISS
ILI incidence,AT,2018/3/11,2018-W10,2017-2018,1331.2,ERVISS
ILI incidence,AT,2018/3/18,2018-W11,2017-2018,938.0,ERVISS
ILI incidence,AT,2018/3/25,2018-W12,2017-2018,812.0,ERVISS
ILI incidence,AT,2018/4/1,2018-W13,2017-2018,639.5,ERVISS
ILI incidence,AT,2018/4/8,2018-W14,2017-2018,221.4,ERVISS
ILI incidence,AT,2018/10/21,2018-W42,2018-2019,602.7,ERVISS
ILI incidence,AT,2018/10/28,2018-W43,2018-2019,459.8,ERVISS
ILI incidence,AT,2018/11/4,2018-W44,2018-2019,490.7,ERVISS
ILI incidence,AT,2018/11/11,2018-W45,2018-2019,654.2,ERVISS
ILI incidence,AT,2018/11/18,2018-W46,2018-2019,697.1,ERVISS
ILI incidence,AT,2018/11/25,2018-W47,2018-2019,763.8,ERVISS
ILI incidence,AT,2018/12/2,2018-W48,2018-2019,707.2,ERVISS
ILI incidence,AT,2018/12/9,2018-W49,2018-2019,654.5,ERVISS
ILI incidence,AT,2018/12/16,2018-W50,2018-2019,686.3,ERVISS
ILI incidence,AT,2018/12/23,2018-W51,2018-2019,772.1,ERVISS
ILI incidence,AT,2019/1/13,2019-W02,2018-2019,786.9,ERVISS
ILI incidence,AT,2019/1/20,2019-W03,2018-2019,855.4,ERVISS
ILI incidence,AT,2019/1/27,2019-W04,2018-2019,1022.4,ERVISS
ILI incidence,AT,2019/2/3,2019-W05,2018-2019,1264.8,ERVISS
ILI incidence,AT,2019/2/10,2019-W06,2018-2019,1367.1,ERVISS
ILI incidence,AT,2019/2/17,2019-W07,2018-2019,1209.2,ERVISS
ILI incidence,AT,2019/2/24,2019-W08,2018-2019,1156.0,ERVISS
ILI incidence,AT,2019/3/3,2019-W09,2018-2019,1122.3,ERVISS
ILI incidence,AT,2019/3/10,2019-W10,2018-2019,947.8,ERVISS
ILI incidence,AT,2019/3/17,2019-W11,2018-2019,702.9,ERVISS
ILI incidence,AT,2019/3/24,2019-W12,2018-2019,618.3,ERVISS
ILI incidence,AT,2019/3/31,2019-W13,2018-2019,560.7,ERVISS
ILI incidence,AT,2019/4/7,2019-W14,2018-2019,352.5,ERVISS
ILI incidence,BE,2017/10/22,2017-W42,2017-2018,11.5,ERVISS
ILI incidence,BE,2017/10/29,2017-W43,2017-2018,20.6,ERVISS
ILI incidence,BE,2017/11/5,2017-W44,2017-2018,9.0,ERVISS
ILI incidence,BE,2017/11/12,2017-W45,2017-2018,13.6,ERVISS
ILI incidence,BE,2017/11/19,2017-W46,2017-2018,18.9,ERVISS
ILI incidence,BE,2017/11/26,2017-W47,2017-2018,23.8,ERVISS
ILI incidence,BE,2017/12/3,2017-W48,2017-2018,29.6,ERVISS
ILI incidence,BE,2017/12/10,2017-W49,2017-2018,36.5,ERVISS
ILI incidence,BE,2017/12/17,2017-W50,2017-2018,43.8,ERVISS
ILI incidence,BE,2017/12/24,2017-W51,2017-2018,52.9,ERVISS
ILI incidence,BE,2017/12/31,2017-W52,2017-2018,60.7,ERVISS
ILI incidence,BE,2018/1/7,2018-W01,2017-2018,94.5,ERVISS
ILI incidence,BE,2018/1/14,2018-W02,2017-2018,176.4,ERVISS
ILI incidence,BE,2018/1/21,2018-W03,2017-2018,244.4,ERVISS
ILI incidence,BE,2018/1/28,2018-W04,2017-2018,317.8,ERVISS
ILI incidence,BE,2018/2/4,2018-W05,2017-2018,410.3,ERVISS
ILI incidence,BE,2018/2/11,2018-W06,2017-2018,565.1,ERVISS
ILI incidence,BE,2018/2/18,2018-W07,2017-2018,549.2,ERVISS
ILI incidence,BE,2018/2/25,2018-W08,2017-2018,606.6,ERVISS
ILI incidence,BE,2018/3/4,2018-W09,2017-2018,615.0,ERVISS
ILI incidence,BE,2018/3/11,2018-W10,2017-2018,718.6,ERVISS
ILI incidence,BE,2018/3/18,2018-W11,2017-2018,538.1,ERVISS
ILI incidence,BE,2018/3/25,2018-W12,2017-2018,333.2,ERVISS
ILI incidence,BE,2018/4/1,2018-W13,2017-2018,197.8,ERVISS
ILI incidence,BE,2018/4/8,2018-W14,2017-2018,68.7,ERVISS
ILI incidence,BE,2018/10/21,2018-W42,2018-2019,17.0,ERVISS
ILI incidence,BE,2018/10/28,2018-W43,2018-2019,28.5,ERVISS
ILI incidence,BE,2018/11/4,2018-W44,2018-2019,18.3,ERVISS
ILI incidence,BE,2018/11/11,2018-W45,2018-2019,37.2,ERVISS
ILI incidence,BE,2018/11/18,2018-W46,2018-2019,19.8,ERVISS
ILI incidence,BE,2018/11/25,2018-W47,2018-2019,21.1,ERVISS
ILI incidence,BE,2018/12/2,2018-W48,2018-2019,42.7,ERVISS
ILI incidence,BE,2018/12/9,2018-W49,2018-2019,42.7,ERVISS
ILI incidence,BE,2018/12/16,2018-W50,2018-2019,38.1,ERVISS
ILI incidence,BE,2018/12/23,2018-W51,2018-2019,34.5,ERVISS
ILI incidence,BE,2018/12/30,2018-W52,2018-2019,18.2,ERVISS
ILI incidence,BE,2019/1/6,2019-W01,2018-2019,46.6,ERVISS
ILI incidence,BE,2019/1/13,2019-W02,2018-2019,62.5,ERVISS
ILI incidence,BE,2019/1/20,2019-W03,2018-2019,96.3,ERVISS
ILI incidence,BE,2019/1/27,2019-W04,2018-2019,209.1,ERVISS
ILI incidence,BE,2019/2/3,2019-W05,2018-2019,365.3,ERVISS
ILI incidence,BE,2019/2/10,2019-W06,2018-2019,667.6,ERVISS
ILI incidence,BE,2019/2/17,2019-W07,2018-2019,741.2,ERVISS
