item_id,season_id,anno,settimana,incidenza
0,0,2017,42,7.1
0,0,2017,43,5.2
0,0,2017,44,3.4
0,0,2017,45,7.5
0,0,2017,46,7.8
0,0,2017,47,5.1
0,0,2017,48,7.5
0,0,2017,49,7.1
0,0,2017,50,18.9
0,0,2017,51,25.9
0,0,2017,52,29.3
0,0,2018,1,94.8
0,0,2018,2,97.1
0,0,2018,3,100.8
0,0,2018,4,89.0
0,0,2018,5,72.9
0,0,2018,6,63.9
0,0,2018,7,63.6
0,0,2018,8,41.2
0,0,2018,9,29.0
0,0,2018,10,31.7
0,0,2018,11,16.8
0,0,2018,12,13.8
0,0,2018,13,12.9
0,0,2018,14,4.1
0,1,2018,42,3.2
0,1,2018,43,4.4
0,1,2018,44,5.9
0,1,2018,45,4.0
0,1,2018,46,4.8
0,1,2018,47,3.6
0,1,2018,48,5.0
0,1,2018,49,8.6
0,1,2018,50,9.1
0,1,2018,51,11.7
0,1,2018,52,10.6
0,1,2019,1,32.8
0,1,2019,2,52.1
0,1,2019,3,43.1
0,1,2019,4,41.4
0,1,2019,5,53.2
0,1,2019,6,51.9
0,1,2019,7,43.4
0,1,2019,8,26.9
0,1,2019,9,14.5
0,1,2019,10,14.3
0,1,2019,11,14.5
0,1,2019,12,10.7
0,1,2019,13,4.3
0,1,2019,14,10.4
0,2,2023,42,6.2
0,2,2023,43,7.3
0,2,2023,44,8.2
0,2,2023,45,9.2
0,2,2023,46,10.8
0,2,2023,47,8.7
0,2,2023,48,7.5
0,2,2023,49,15.9
0,2,2023,50,15.0
0,2,2023,51,22.5
0,2,2023,52,14.9
0,2,2024,1,28.0
0,2,2024,2,31.7
0,2,2024,3,28.8
0,2,2024,4,29.4
0,2,2024,5,23.1
0,2,2024,6,17.1
0,2,2024,7,13.1
0,2,2024,8,14.6
0,2,2024,9,10.1
0,2,2024,10,12.3
0,2,2024,11,8.4
0,2,2024,12,5.9
0,2,2024,13,6.0
0,2,2024,14,6.0
0,3,2024,42,7.5
0,3,2024,43,3.8
0,3,2024,44,4.4
0,3,2024,45,4.2
0,3,2024,46,6.6
0,3,2024,47,10.6
0,3,2024,48,11.9
0,3,2024,49,15.5
0,3,2024,50,26.8
0,3,2024,51,54.5
0,3,2024,52,45.6
0,3,2025,1,81.4
0,3,2025,2,77.0
0,3,2025,3,45.9
0,3,2025,4,29.4
0,3,2025,5,27.9
0,3,2025,6,21.8
0,3,2025,7,24.8
0,3,2025,8,19.4
0,3,2025,9,16.0
0,3,2025,10,14.7
0,3,2025,11,11.6
0,3,2025,12,10.9
0,3,2025,13,13.3
0,3,2025,14,9.9
1,0,2017,42,2.1551708225104265
1,0,2017,43,8.810840332841012
1,0,2017,44,7.135129563084871
1,0,2017,45,5.856805446412964
1,0,2017,46,7.153745939170417
1,0,2017,47,8.165260865300958
1,0,2017,48,16.2442762998836
1,0,2017,49,24.432639383676502
1,0,2017,50,34.23234412827017
1,0,2017,51,78.94287752471969
1,0,2017,52,90.01171264054669
1,0,2018,1,104.51020688440963
1,0,2018,2,67.56284149066484
1,0,2018,3,78.36760124654013
1,0,2018,4,67.86686498876084
1,0,2018,5,70.82592969533596
1,0,2018,6,39.71065422938713
1,0,2018,7,24.144648914721092
1,0,2018,8,38.92048809836135
1,0,2018,9,18.19664226144625
1,0,2018,10,14.974327520114638
1,0,2018,11,9.63832546910363
1,0,2018,12,4.425255630922796
1,0,2018,13,12.381450876382258
1,0,2018,14,14.508447335736747
1,1,2018,42,4.421343452959887
1,1,2018,43,5.37767317984129
1,1,2018,44,4.135992951435875
1,1,2018,45,4.771865971596759
1,1,2018,46,4.293823476234345
1,1,2018,47,5.299891766304727
1,1,2018,48,9.715566288842263
1,1,2018,49,8.924402596091543
1,1,2018,50,11.442620053740898
1,1,2018,51,9.940591479339304
1,1,2018,52,30.75623751735547
1,1,2019,1,53.62150845200698
1,1,2019,2,46.422955429288656
1,1,2019,3,42.142071371726566
1,1,2019,4,45.35094705338906
1,1,2019,5,50.297675662522856
1,1,2019,6,44.64062546681961
1,1,2019,7,26.209901194737082
1,1,2019,8,15.142476038601252
1,1,2019,9,12.121627755098746
1,1,2019,10,13.33350668069579
1,1,2019,11,11.262185433844234
1,1,2019,12,4.384986971749845
1,1,2019,13,9.97196061024598
1,1,2019,14,3.171255296032771
1,2,2023,42,7.497744928656152
1,2,2023,43,9.362003445333212
1,2,2023,44,12.275940301559451
1,2,2023,45,8.981516462320677
1,2,2023,46,6.991456147571986
1,2,2023,47,15.586836049797542
1,2,2023,48,14.802225226731661
