item_id,season_id,anno,settimana,incidenza
0,0,2017,42,89.1
0,0,2017,43,85.1
0,0,2017,44,94.6
0,0,2017,45,123.9
0,0,2017,46,159.8
0,0,2017,47,185.2
0,0,2017,48,238.0
0,0,2017,49,311.4
0,0,2017,50,473.8
0,0,2017,51,720.7
0,0,2017,52,1145.5
0,0,2018,1,1379.6
0,0,2018,2,1472.7
0,0,2018,3,1387.3
0,0,2018,4,1268.9
0,0,2018,5,1072.2
0,0,2018,6,896.5
0,0,2018,7,712.1
0,0,2018,8,624.1
0,0,2018,9,474.4
0,0,2018,10,362.3
0,0,2018,11,262.7
0,0,2018,12,215.2
0,0,2018,13,172.6
0,0,2018,14,132.1
0,1,2018,42,78.6
0,1,2018,43,94.5
0,1,2018,44,100.7
0,1,2018,45,146.9
0,1,2018,46,177.7
0,1,2018,47,213.6
0,1,2018,48,238.2
0,1,2018,49,275.4
0,1,2018,50,331.3
0,1,2018,51,370.9
0,1,2018,52,426.6
0,1,2019,1,572.1
0,1,2019,2,762.6
0,1,2019,3,1002.5
0,1,2019,4,1245.6
0,1,2019,5,1402.5
0,1,2019,6,1322.8
0,1,2019,7,1116.1
0,1,2019,8,900.1
0,1,2019,9,655.2
0,1,2019,10,475.3
0,1,2019,11,366.2
0,1,2019,12,286.7
0,1,2019,13,234.8
0,1,2019,14,191.6
0,2,2023,42,495.0
0,2,2023,43,518.7
0,2,2023,44,556.7
0,2,2023,45,690.7
0,2,2023,46,824.9
0,2,2023,47,973.5
0,2,2023,48,1153.2
0,2,2023,49,1256.0
0,2,2023,50,1577.0
0,2,2023,51,1816.5
0,2,2023,52,1842.5
0,2,2024,1,1693.5
0,2,2024,2,1431.6
0,2,2024,3,1183.4
0,2,2024,4,990.8
0,2,2024,5,893.4
0,2,2024,6,809.9
0,2,2024,7,719.4
0,2,2024,8,700.4
0,2,2024,9,643.7
0,2,2024,10,622.4
0,2,2024,11,589.3
0,2,2024,12,567.1
0,2,2024,13,515.0
0,2,2024,14,480.4
0,3,2024,42,595.4
0,3,2024,43,585.4
0,3,2024,44,556.7
0,3,2024,45,682.7
0,3,2024,46,741.0
0,3,2024,47,804.5
0,3,2024,48,855.5
0,3,2024,49,906.0
0,3,2024,50,1019.9
0,3,2024,51,1075.4
0,3,2024,52,1054.3
0,3,2025,1,1240.2
0,3,2025,2,1498.4
0,3,2025,3,1609.8
0,3,2025,4,1742.8
0,3,2025,5,1689.1
0,3,2025,6,1531.1
0,3,2025,7,1429.3
0,3,2025,8,1310.3
0,3,2025,9,1133.2
0,3,2025,10,984.3
0,3,2025,11,862.8
0,3,2025,12,746.0
0,3,2025,13,688.8
0,3,2025,14,610.9
1,0,2017,42,24.981618969137102
1,0,2017,43,36.3549677252604
1,0,2017,44,54.24722077206678
1,0,2017,45,83.94986979279103
1,0,2017,46,131.45506216824805
1,0,2017,47,207.0633107473012
1,0,2017,48,326.6334488897548
1,0,2017,49,505.4832915047538
1,0,2017,50,755.1288027563335
1,0,2017,51,1056.1632459756036
1,0,2017,52,1329.2321878524572
1,0,2018,1,1467.1307061601058
1,0,2018,2,1394.5569454216557
1,0,2018,3,1152.660971416128
1,0,2018,4,847.9852347980747
1,0,2018,5,570.9506644818644
1,0,2018,6,360.1177064686594
1,0,2018,7,217.8381348398974
1,0,2018,8,127.35371906652328
1,0,2018,9,73.13502137603888
1,0,2018,10,40.70565776597952
1,0,2018,11,22.47572823721397
1,0,2018,12,12.094246640632852
1,0,2018,13,6.301760830894627
1,0,2018,14,2.4870286941025226
1,1,2018,42,19.53238749270506
1,1,2018,43,24.31596178893577
1,1,2018,44,31.41559953343197
1,1,2018,45,40.67985332649389
1,1,2018,46,53.20455328166332
1,1,2018,47,71.32307112145713
1,1,2018,48,95.29719449392772
1,1,2018,49,128.41765904112262
1,1,2018,50,173.16495681669556
1,1,2018,51,234.15066114150395
1,1,2018,52,314.5822115877604
1,1,2019,1,420.93939332833287
1,1,2019,2,552.4498246247525
1,1,2019,3,703.6343549093107
1,1,2019,4,864.179416262454
1,1,2019,5,1010.9287012700906
1,1,2019,6,1120.7940538479938
1,1,2019,7,1170.3541336325968
1,1,2019,8,1146.229644627567
1,1,2019,9,1051.2926785914967
1,1,2019,10,906.7642615237428
1,1,2019,11,740.5074696676372
1,1,2019,12,574.1068027818169
1,1,2019,13,431.067979066824
1,1,2019,14,233.9180812062508
1,2,2023,42,142.77532025159832
1,2,2023,43,195.27187586847288
1,2,2023,44,268.5114946901708
1,2,2023,45,365.11356307887513
1,2,2023,46,492.2448046809741
1,2,2023,47,647.7389719641325
1,2,2023,48,831.608261211555
1,2,2023,49,1029.616795396105
1,2,2023,50,1222.2523977410344
1,2,2023,51,1380.259937540055
1,2,2023,52,1468.8049536084056
1,2,2024,1,1471.3277078805795
1,2,2024,2,1383.1410749033305
1,2,2024,3,1227.8120265312552
1,2,2024,4,1034.135987411376
1,2,2024,5,834.0822303509091
1,2,2024,6,647.0569182802832
1,2,2024,7,487.7837795548351
1,2,2024,8,359.4057025389319
1,2,2024,9,261.1421251074531
1,2,2024,10,186.93055633187927
1,2,2024,11,132.81564775126344
1,2,2024,12,93.4413546873452
1,2,2024,13,64.72942767149652
1,2,2024,14,33.90285278302587
1,3,2024,42,92.0770075070575
1,3,2024,43,115.84929456388282
1,3,2024,44,147.00882266311575
1,3,2024,45,189.9670377163048
1,3,2024,46,241.0848375863229
1,3,2024,47,308.9693121592964
1,3,2024,48,389.2839783017824
1,3,2024,49,488.6346468844208
1,3,2024,50,606.9100095397216
1,3,2024,51,743.6602895990511
1,3,2024,52,899.816842790388
1,3,2025,1,1056.5367526171854
1,3,2025,2,1216.0734456212847
1,3,2025,3,1350.9178538372623
1,3,2025,4,1452.2925174287525
1,3,2025,5,1504.625622943816
1,3,2025,6,1493.6901437377426
1,3,2025,7,1425.7307063866638
1,3,2025,8,1307.7915404331698
1,3,2025,9,1160.4737802602856
1,3,2025,10,997.0594671887231
