item_id,season_id,anno,settimana,incidenza
0,0,2017,42,14.9
0,0,2017,43,10.9
0,0,2017,44,12.8
0,0,2017,45,21.0
0,0,2017,46,20.1
0,0,2017,47,37.4
0,0,2017,48,56.3
0,0,2017,49,95.6
0,0,2017,50,194.1
0,0,2017,51,343.9
0,0,2017,52,448.3
0,0,2018,1,352.9
0,0,2018,2,296.9
0,0,2018,3,267.3
0,0,2018,4,263.0
0,0,2018,5,236.5
0,0,2018,6,208.0
0,0,2018,7,211.5
0,0,2018,8,197.6
0,0,2018,9,162.7
0,0,2018,10,140.1
0,0,2018,11,97.7
0,0,2018,12,78.0
0,0,2018,13,49.0
0,0,2018,14,34.0
0,1,2018,42,11.7
0,1,2018,43,9.8
0,1,2018,44,9.9
0,1,2018,45,16.6
0,1,2018,46,16.9
0,1,2018,47,23.9
0,1,2018,48,29.2
0,1,2018,49,29.6
0,1,2018,50,41.6
0,1,2018,51,58.8
0,1,2018,52,56.8
0,1,2019,1,77.4
0,1,2019,2,116.2
0,1,2019,3,226.2
0,1,2019,4,370.8
0,1,2019,5,547.2
0,1,2019,6,606.4
0,1,2019,7,472.7
0,1,2019,8,265.5
0,1,2019,9,135.9
0,1,2019,10,76.5
0,1,2019,11,48.5
0,1,2019,12,34.2
0,1,2019,13,25.7
0,1,2019,14,22.0
0,2,2023,42,86.6
0,2,2023,43,68.5
0,2,2023,44,76.1
0,2,2023,45,109.7
0,2,2023,46,127.8
0,2,2023,47,169.1
0,2,2023,48,189.3
0,2,2023,49,224.8
0,2,2023,50,225.5
0,2,2023,51,226.7
0,2,2023,52,175.9
0,2,2024,1,183.4
0,2,2024,2,196.6
0,2,2024,3,248.3
0,2,2024,4,323.8
0,2,2024,5,328.5
0,2,2024,6,288.7
0,2,2024,7,209.7
0,2,2024,8,158.8
0,2,2024,9,108.0
0,2,2024,10,91.3
0,2,2024,11,76.4
0,2,2024,12,61.7
0,2,2024,13,53.3
0,2,2024,14,48.3
0,3,2024,42,103.0
0,3,2024,43,70.7
0,3,2024,44,54.7
0,3,2024,45,71.9
0,3,2024,46,85.7
0,3,2024,47,115.9
0,3,2024,48,132.7
0,3,2024,49,164.8
0,3,2024,50,207.6
0,3,2024,51,306.4
0,3,2024,52,306.4
0,3,2025,1,350.1
0,3,2025,2,388.9
0,3,2025,3,382.2
0,3,2025,4,529.2
0,3,2025,5,505.6
0,3,2025,6,413.5
0,3,2025,7,315.9
0,3,2025,8,205.6
0,3,2025,9,127.8
0,3,2025,10,91.2
0,3,2025,11,89.9
0,3,2025,12,79.4
0,3,2025,13,60.0
0,3,2025,14,57.3
