,location,truth_date,year_week,value,data_source
181,AT,2017/10/8,2017-W40,289.1,ERVISS
180,AT,2017/10/15,2017-W41,616.3,ERVISS
179,AT,2017/10/22,2017-W42,552.6,ERVISS
178,AT,2017/10/29,2017-W43,508.1,ERVISS
177,AT,2017/11/5,2017-W44,430.3,ERVISS
176,AT,2017/11/12,2017-W45,688.9,ERVISS
175,AT,2017/11/19,2017-W46,594.9,ERVISS
174,AT,2017/11/26,2017-W47,614.0,ERVISS
173,AT,2017/12/3,2017-W48,654.4,ERVISS
172,AT,2017/12/10,2017-W49,628.1,ERVISS
171,AT,2017/12/17,2017-W50,806.4,ERVISS
170,AT,2017/12/24,2017-W51,849.8,ERVISS
169,AT,2017/12/31,2017-W52,483.4,ERVISS
168,AT,2018/1/7,2018-W01,944.2,ERVISS
167,AT,2018/1/14,2018-W02,1014.7,ERVISS
166,AT,2018/1/21,2018-W03,1152.2,ERVISS
165,AT,2018/1/28,2018-W04,1357.8,ERVISS
164,AT,2018/2/4,2018-W05,1497.2,ERVISS
163,AT,2018/2/11,2018-W06,1729.8,ERVISS
162,AT,2018/2/18,2018-W07,1792.9,ERVISS
161,AT,2018/2/25,2018-W08,1480.5,ERVISS
160,AT,2018/3/4,2018-W09,1428.7,ERVISS
159,AT,2018/3/11,2018-W10,1331.2,ERVISS
158,AT,2018/3/18,2018-W11,938.0,ERVISS
157,AT,2018/3/25,2018-W12,812.0,ERVISS
156,AT,2018/4/1,2018-W13,639.5,ERVISS
155,AT,2018/4/8,2018-W14,221.4,ERVISS
153,AT,2018/10/7,2018-W40,439.5,ERVISS
152,AT,2018/10/14,2018-W41,439.4,ERVISS
151,AT,2018/10/21,2018-W42,602.7,ERVISS
150,AT,2018/10/28,2018-W43,459.8,ERVISS
149,AT,2018/11/4,2018-W44,490.7,ERVISS
148,AT,2018/11/11,2018-W45,654.2,ERVISS
147,AT,2018/11/18,2018-W46,697.1,ERVISS
146,AT,2018/11/25,2018-W47,763.8,ERVISS
145,AT,2018/12/2,2018-W48,707.2,ERVISS
144,AT,2018/12/9,2018-W49,654.5,ERVISS
143,AT,2018/12/16,2018-W50,686.3,ERVISS
142,AT,2018/12/23,2018-W51,772.1,ERVISS
141,AT,2019/1/13,2019-W02,786.9,ERVISS
140,AT,2019/1/20,2019-W03,855.4,ERVISS
139,AT,2019/1/27,2019-W04,1022.4,ERVISS
138,AT,2019/2/3,2019-W05,1264.8,ERVISS
137,AT,2019/2/10,2019-W06,1367.1,ERVISS
136,AT,2019/2/17,2019-W07,1209.2,ERVISS
135,AT,2019/2/24,2019-W08,1156.0,ERVISS
